Date,ASX:RRL,ASX:SHL,ASX:BHP,NASDAQ:GOOG,ASX:BOE
7/7/17,3.62,22.9,24.59,906.69,0.05
10/7/17,3.67,22.69,24.52,918.59,0.05
11/7/17,3.63,22.74,24.78,928.8,0.05
12/7/17,3.63,22.35,24.88,930.09,0.05
13/7/17,3.77,22.56,25,943.83,0.05
14/7/17,3.66,22.78,25.13,947.16,0.05
17/7/17,3.63,22.87,25.17,955.99,0.05
18/7/17,3.59,22.6,25.1,953.42,0.05
19/7/17,3.53,22.57,24.83,965.4,0.05
20/7/17,3.51,22.61,24.97,970.89,0.05
21/7/17,3.58,22.67,24.49,968.15,0.05
24/7/17,3.68,22.52,24.4,972.92,0.05
25/7/17,3.75,22.69,24.56,980.34,0.05
26/7/17,3.77,22.68,25.37,950.7,0.05
27/7/17,3.83,22.67,25.65,947.8,0.05
28/7/17,3.66,22.32,25.33,934.09,0.05
31/7/17,3.69,22.29,25.85,941.53,0.05
1/8/17,3.77,22.34,26.16,930.5,0.05
2/8/17,3.73,22.26,25.75,930.83,0.05
3/8/17,3.77,22.3,25.64,930.39,0.05
4/8/17,3.79,22.38,25.72,923.65,0.05
7/8/17,3.79,22.64,26.16,927.96,0.05
8/8/17,3.75,22.64,26.1,929.36,0.05
9/8/17,3.89,22.94,26.21,926.79,0.05
10/8/17,3.87,22.95,26.07,922.9,0.05
11/8/17,3.86,22.77,25.55,907.24,0.05
14/8/17,3.85,22.86,25.65,914.39,0.05
15/8/17,3.81,23.08,25.61,922.67,0.05
16/8/17,3.72,23.59,25.67,922.22,0.04
17/8/17,3.78,22.93,25.92,926.96,0.05
18/8/17,3.7,22.65,25.39,910.98,0.05
21/8/17,3.72,22.39,25.7,910.67,0.04
22/8/17,3.82,22.29,25.98,906.66,0.04
23/8/17,3.84,22.14,26.04,924.69,0.04
24/8/17,3.84,22.04,26.6,927,0.04
25/8/17,3.83,22.06,26.68,921.28,0.04
28/8/17,3.81,22,26.89,915.89,0.04
29/8/17,3.9,21.87,26.87,913.81,0.04
30/8/17,4.03,21.73,26.95,921.29,0.05
31/8/17,4,21.9,27.38,929.57,0.05
1/9/17,4.05,22,27.42,939.33,0.05
4/9/17,4.1,21.82,27.48,937.34,0.05
5/9/17,4.06,21.46,27.62,928.45,0.05
6/9/17,4.11,21.43,27.73,927.81,0.05
7/9/17,4.1,21.41,27.33,935.95,0.05
8/9/17,4.14,20.97,27.29,926.5,0.05
11/9/17,4.02,21.24,26.8,929.08,0.04
12/9/17,3.82,21.14,27.12,932.07,0.04
13/9/17,3.83,21.12,27.38,935.09,0.04
14/9/17,3.81,20.92,26.89,925.11,0.04
15/9/17,3.81,21.14,26.26,920.29,0.04
18/9/17,3.79,21.37,26.28,915,0.04
19/9/17,3.77,21.35,26.3,921.81,0.04
20/9/17,3.85,21.44,26.19,931.58,0.04
21/9/17,3.69,21.32,25.99,932.45,0.04
22/9/17,3.63,21.33,25.95,928.53,0.04
25/9/17,3.65,21.42,25.98,920.97,0.04
26/9/17,3.66,21.22,25.79,924.86,0.04
27/9/17,3.64,21.09,25.83,944.49,0.04
28/9/17,3.49,21.08,25.58,949.5,0.04
29/9/17,3.47,20.91,25.78,959.11,0.04
2/10/17,3.47,21.12,26.12,953.27,0.04
3/10/17,3.47,21.01,26.15,957.79,0.04
4/10/17,3.5,20.74,26,951.68,0.04
5/10/17,3.59,20.66,26.09,969.96,0.05
6/10/17,3.58,20.82,26.61,978.89,0.05
9/10/17,3.63,21.06,26.56,977,0.05
10/10/17,3.73,21.02,26.5,972.6,0.05
11/10/17,3.72,21.29,26.63,989.25,0.05
12/10/17,3.83,21.5,26.21,987.83,0.05
13/10/17,3.82,21.79,26.36,989.68,0.05
16/10/17,3.79,21.69,26.95,992,0.05
17/10/17,3.83,21.59,27.31,992.18,0.05
18/10/17,3.83,21.56,27.17,992.81,0.05
19/10/17,3.8,21.55,26.56,984.45,0.05
20/10/17,3.73,21.7,26.68,988.2,0.05
23/10/17,3.73,21.61,26.49,968.45,0.05
24/10/17,3.78,21.6,26.55,970.54,0.05
25/10/17,3.81,21.55,26.82,973.33,0.05
26/10/17,3.88,21.88,26.64,972.56,0.05
27/10/17,3.83,21.68,26.59,1019.27,0.05
30/10/17,3.85,21.81,26.63,1017.11,0.05
31/10/17,3.75,21.77,26.54,1016.64,0.05
1/11/17,3.76,21.68,26.95,1025.5,0.05
2/11/17,3.82,21.7,27.35,1025.58,0.06
3/11/17,3.94,21.71,27.69,1032.48,0.06
6/11/17,3.96,21.67,27.67,1025.9,0.05
7/11/17,3.97,21.87,28.75,1033.33,0.05
8/11/17,3.94,21.75,28.49,1039.85,0.05
9/11/17,3.95,21.95,28.63,1031.26,0.05
10/11/17,3.99,21.98,28.07,1028.07,0.05
13/11/17,4.03,21.96,28.28,1025.75,0.05
14/11/17,4.05,21.49,27.95,1026,0.06
15/11/17,4.03,21.34,27.35,1020.91,0.06
16/11/17,3.98,21.42,27.27,1032.5,0.06
17/11/17,3.97,21.7,27.12,1019.09,0.06
20/11/17,3.91,21.95,27.12,1018.38,0.06
21/11/17,3.94,21.59,27.23,1034.49,0.05
22/11/17,3.94,21.61,27.6,1035.96,0.06
23/11/17,3.94,21.73,27.96,1040.61,0.06
24/11/17,3.95,21.95,27.97,1054.21,0.06
27/11/17,3.89,22.1,27.95,1047.41,0.06
28/11/17,3.91,22.24,27.38,1021.66,0.06
29/11/17,3.86,22.35,27.64,1021.41,0.06
30/11/17,3.79,22.28,27.3,1010.17,0.06
1/12/17,3.8,22.59,27.58,998.68,0.05
